iter	MultiClass
0	1.778409747
1	1.651107465
2	1.549066667
3	1.461156494
4	1.387883697
5	1.322519526
6	1.264348742
7	1.213339961
8	1.167216936
9	1.125444193
10	1.088755084
11	1.055476775
12	1.025326086
13	0.9971502423
14	0.9718048623
15	0.9480728461
16	0.9256525013
17	0.904891943
18	0.8855739127
19	0.8675436781
20	0.8507436197
21	0.8350291793
22	0.8200745467
23	0.8070211676
24	0.7931995511
25	0.7804493414
26	0.7686557214
27	0.7580936686
28	0.7483754814
29	0.7387487613
30	0.7299891675
31	0.7220341587
32	0.7146776584
33	0.7074351075
34	0.7010251329
35	0.6943321104
36	0.6880536771
37	0.6828020283
38	0.6771734297
39	0.6722701271
40	0.6669164073
41	0.6629700214
42	0.657652451
43	0.6534239846
44	0.6495368983
45	0.6450245115
46	0.6418636572
47	0.6384490074
48	0.6348529303
49	0.6329440295
50	0.6298866296
51	0.6271114286
52	0.6239282653
53	0.6216005408
54	0.6181799823
55	0.6150986475
56	0.612545655
57	0.61098156
58	0.6083328461
59	0.6058942574
60	0.6034436048
61	0.6010768678
62	0.5985234988
63	0.596746111
64	0.5948915258
65	0.5914703943
66	0.5901719903
67	0.5892125641
68	0.5881512198
69	0.5867441684
70	0.5852010423
71	0.5833756077
72	0.5812655684
73	0.580099258
74	0.5786719621
75	0.5773793255
76	0.5757374263
77	0.5747855165
78	0.5732988136
79	0.5722484838
80	0.5708167685
81	0.5701553638
82	0.5685634443
83	0.5676546663
84	0.5657367863
85	0.5648090106
86	0.5633937655
87	0.5612880482
88	0.5607016797
89	0.5599230373
90	0.5586958843
91	0.5581032581
92	0.557031356
93	0.5558290928
94	0.554816349
95	0.5540275453
96	0.5530420144
97	0.5525654282
98	0.552155831
99	0.5513079307
100	0.5507841552
101	0.5502791344
102	0.5492868638
103	0.5488678382
104	0.5480539568
105	0.5460808355
106	0.5456310301
107	0.5445372341
108	0.5441339538
109	0.5436363942
110	0.5432339697
111	0.5427133975
112	0.5419564937
113	0.5412210233
114	0.5408187643
115	0.5401741226
116	0.5394680441
117	0.5391219624
118	0.5388319759
119	0.5379993507
120	0.5373717299
121	0.5366737969
122	0.5362673995
123	0.5352885756
124	0.5350082771
125	0.5346510515
126	0.5344089977
127	0.5323137732
128	0.531552412
129	0.5312601512
130	0.5303510776
131	0.5299192009
132	0.5296347149
133	0.529315125
134	0.5291042174
135	0.5284104605
136	0.5276526109
137	0.5272792518
138	0.5267985456
139	0.5261223167
140	0.5255475493
141	0.5252732236
142	0.5245431155
143	0.5241596478
144	0.5236223528
145	0.5230718375
146	0.5226569951
147	0.522382165
148	0.5221646771
149	0.5219448368
150	0.5217817966
151	0.5214301356
152	0.5210079185
153	0.5207533574
154	0.5201536912
155	0.5199989501
156	0.5198360891
157	0.5194349727
158	0.5190363189
159	0.5186672823
160	0.5183161791
161	0.5180788421
162	0.5173220994
163	0.5169851055
164	0.5166122001
165	0.5163970637
166	0.5162747749
167	0.5157580215
168	0.5152058066
169	0.5149879016
170	0.5148320659
171	0.5146080173
172	0.5144181624
173	0.5141934341
174	0.5139825246
175	0.5136614972
176	0.513464319
177	0.5129136437
178	0.5126918577
179	0.5125108801
180	0.5122214669
181	0.5117697011
182	0.5116665649
183	0.5110717408
184	0.510893696
185	0.5106984513
186	0.5104493727
187	0.5102105034
188	0.5099804843
189	0.5097952217
190	0.509192968
191	0.5089528058
192	0.5087924291
193	0.5085320252
194	0.5084107437
195	0.5081287092
196	0.5079276787
197	0.507860677
198	0.5077497455
199	0.5074350414
200	0.5072563839
201	0.5070428776
202	0.5069410498
203	0.5067373639
204	0.506529766
205	0.5063548475
206	0.5061194312
207	0.5058804254
208	0.5055742048
209	0.5053951455
210	0.5050644245
211	0.504976907
212	0.5047003684
213	0.5044494782
214	0.5043004017
215	0.50411722
216	0.5040167512
217	0.5039254006
218	0.5038221458
219	0.5037369131
220	0.5035586306
221	0.5034612738
222	0.5033161653
223	0.5029636865
224	0.5027037931
225	0.5023029643
226	0.502257802
227	0.5021489026
228	0.5019989291
229	0.5018942412
230	0.5018085546
231	0.5016797713
232	0.5015665306
233	0.5014608855
234	0.5012506241
235	0.5010941737
236	0.5010135705
237	0.5006752992
238	0.5004030401
239	0.5001937179
240	0.5000690861
241	0.4997066737
242	0.49963648
243	0.499376015
244	0.4988693297
245	0.4984367839
246	0.4983025589
247	0.4979991106
248	0.4978821874
249	0.4977760822
250	0.4976653301
251	0.4974970672
252	0.49735262
253	0.4972887012
254	0.4969521512
255	0.4966492896
256	0.4963355661
257	0.4960101181
258	0.4956611271
259	0.4955007821
260	0.4954035272
261	0.4953340709
262	0.4952516007
263	0.4951140483
264	0.495039946
265	0.4949573307
266	0.4947038885
267	0.494618447
268	0.4943447696
269	0.49423175
270	0.4941114142
271	0.4940471828
272	0.4939909942
273	0.4939130827
274	0.4937545291
275	0.4936754877
276	0.4932879364
277	0.4932037112
278	0.4930971074
279	0.4929811615
280	0.4928943565
281	0.4927055918
282	0.4925826403
283	0.4925326271
284	0.4922539355
285	0.4921377453
286	0.4919753186
287	0.4919369104
288	0.4918807338
289	0.4918334127
290	0.4915829223
291	0.4915219278
292	0.4913986037
293	0.4912917304
294	0.491248759
295	0.4912107933
296	0.4911710028
297	0.4908927576
298	0.4908468289
299	0.4907380352
300	0.4906369058
301	0.4905207914
302	0.4904634954
303	0.4904480053
304	0.4903065143
305	0.490288959
306	0.4902176247
307	0.490176671
308	0.4900958674
309	0.4898778277
310	0.4896918194
311	0.4896264124
312	0.4895959951
313	0.4894794975
314	0.4893725832
315	0.4893313502
316	0.4892448251
317	0.4888002331
318	0.4887130636
319	0.4886737406
320	0.4885580921
321	0.4879514156
322	0.4878973011
323	0.4878713963
324	0.487791213
325	0.4877479264
326	0.4876651431
327	0.4874996952
328	0.4874759303
329	0.487451673
330	0.487387851
331	0.4871681614
332	0.4871571216
333	0.4871201773
334	0.4870951229
335	0.4870464632
336	0.4870033859
337	0.4869681263
338	0.4869406703
339	0.4868622551
340	0.4868065316
341	0.4867898361
342	0.4867431132
343	0.4866122829
344	0.4865839033
345	0.4865504083
346	0.4865246266
347	0.4864914626
348	0.4864477964
349	0.4864262767
350	0.4864085318
351	0.4863482332
352	0.4860420969
353	0.4860237175
354	0.4859835214
355	0.4859606177
356	0.4857434752
357	0.4856661545
358	0.4856482245
359	0.4856265494
360	0.485452413
361	0.4854066784
362	0.4853427847
363	0.4853323144
364	0.4852603447
365	0.4851123326
366	0.4850996746
367	0.4850713124
368	0.4850543679
369	0.4849724005
370	0.4846571556
371	0.4845915098
372	0.4845733844
373	0.4841283932
374	0.48403036
375	0.4840182098
376	0.4839972263
377	0.4838647057
378	0.4836634715
379	0.4836450674
380	0.4836093017
381	0.483547502
382	0.483531947
383	0.4835115334
384	0.4834937229
385	0.4834725985
386	0.4834108154
387	0.4834027485
388	0.4833472606
389	0.4833219847
390	0.4832450051
391	0.4832108606
392	0.483165083
393	0.4827330842
394	0.4826614562
395	0.4814948876
396	0.4813792335
397	0.4811842468
398	0.4810930444
399	0.4810695747
400	0.4810485227
401	0.4810194893
402	0.4809935337
403	0.4809847138
404	0.480973102
405	0.480939037
406	0.4809214638
407	0.4809135547
408	0.4808448213
409	0.4808229235
410	0.4808160111
411	0.4807909631
412	0.480777339
413	0.4807510975
414	0.480698647
415	0.4806488381
416	0.4805318872
417	0.4803688242
418	0.4803434693
419	0.4803302085
420	0.4802929242
421	0.4802829318
422	0.4801538948
423	0.4801325695
424	0.4801064812
425	0.4799179677
426	0.4798894793
427	0.4798739037
428	0.4798654301
429	0.4798534059
430	0.4798231441
431	0.4797793788
432	0.4797547295
433	0.4796210006
434	0.4796007493
435	0.4795684245
436	0.4795378626
437	0.4795145939
438	0.4794951886
439	0.479468222
440	0.4793919516
441	0.4793672771
442	0.4793404645
443	0.4793294153
444	0.4793164782
