iter	Passed	Remaining
0	330	330382
1	508	253781
2	670	222751
3	868	216266
4	1080	215059
5	1242	205809
6	1425	202175
7	1571	194882
8	1719	189307
9	1866	184768
10	1996	179521
11	2121	174685
12	2264	171895
13	2407	169529
14	2545	167162
15	2686	165232
16	2824	163314
17	2963	161695
18	3084	159263
19	3205	157080
20	3336	155555
21	3467	154150
22	3588	152441
23	3736	151963
24	3849	150126
25	4003	149960
26	4148	149501
27	4298	149205
28	4447	148916
29	4580	148092
30	4719	147517
31	4877	147544
32	5017	147028
33	5147	146236
34	5291	145888
35	5435	145552
36	5569	144949
37	5711	144579
38	5846	144071
39	5990	143764
40	6129	143368
41	6286	143384
42	6446	143465
43	6584	143055
44	6750	143250
45	6875	142599
46	7023	142419
47	7170	142210
48	7299	141673
49	7462	141794
50	7644	142247
51	7779	141821
52	7909	141317
53	8059	141196
54	8192	140756
55	8334	140494
56	8486	140397
57	8640	140331
58	8782	140071
59	8916	139697
60	9037	139118
61	9167	138691
62	9312	138506
63	9451	138227
64	9591	137976
65	9732	137732
66	9875	137513
67	10033	137523
68	10165	137165
69	10314	137029
70	10476	137079
71	10612	136785
72	10779	136881
73	10923	136690
74	11065	136474
75	11209	136281
76	11346	136009
77	11481	135715
78	11649	135810
79	11791	135600
80	11929	135352
81	12077	135203
82	12213	134941
83	12350	134677
84	12488	134435
85	12639	134329
86	12772	134033
87	12911	133805
88	13071	133802
89	13222	133693
90	13368	133540
91	13526	133504
92	13672	133342
93	13817	133179
94	13940	132805
95	14081	132601
96	14230	132476
97	14349	132073
98	14490	131881
99	14639	131755
100	14795	131697
101	14930	131448
102	15072	131265
103	15210	131048
104	15350	130843
105	15468	130459
106	15609	130275
107	15774	130288
108	15922	130154
109	16073	130049
110	16219	129900
111	16378	129861
112	16518	129663
113	16568	128766
114	16699	128516
115	16836	128306
116	16974	128106
117	17110	127895
118	17248	127694
119	17381	127466
120	17503	127150
121	17649	127018
122	17792	126864
123	17940	126738
124	18087	126613
125	18212	126333
126	18342	126084
127	18480	125895
128	18622	125734
129	18761	125555
130	18909	125439
131	19028	125128
132	19164	124928
133	19287	124648
134	19406	124342
135	19504	123911
136	19610	123534
137	19707	123103
138	19800	122650
139	19907	122288
140	20004	121868
141	20104	121475
142	20196	121037
143	20289	120609
144	20387	120218
145	20478	119786
146	20572	119375
147	20664	118962
148	20756	118549
149	20850	118154
150	20945	117766
151	21047	117424
152	21139	117027
153	21234	116649
154	21326	116261
155	21419	115886
156	21509	115496
157	21601	115117
158	21692	114739
159	21784	114366
160	21879	114018
161	21973	113664
162	22066	113310
163	22158	112951
164	22246	112581
165	22344	112260
166	22433	111900
167	22528	111569
168	22619	111225
169	22713	110894
170	22804	110556
171	22906	110272
172	23000	109950
173	23096	109639
174	23188	109316
